timer                                            ms      calls
--------------------------------------------------------------
OVERRUN_pass1                                     0          1
OVERRUN_pass2                                     0          1
OVERRUN_SYMBOLIC_pass1                            0          1
OVERRUN_SYMBOLIC_pass2                            0          1
EXTRACT_XREF_SUMMARY                              0          1
FUNCTION_METRICS                                  0          1
RELAX_ACCESS_DBUFFER                              0          1
RELAX_BUFFER_SIZE                                 0          1
RELAX_DEREF_ARGS                                  0          1
RELAX_INDEX_STATIC                                0          1
RELAX_NOTHING                                     0          1
IFACE_TRACKER                                     0          1
sequential initialization                         9          1
  Looking for translation units                   1          1
  Computing links for translation units           1          1
  xfer symbol cache                               0          1
  Computing virtual overrides                     0          1
  Computing callgraph                             1          1
  Topologically sorting functions                 0          1
  (left over)                                     6
Computing node costs                              0          1
Analysis run                                    283          1
  FUNCTION_METRICS                                1          3
  IFACE_TRACKER                                   0          2
  OVERRUN_pass1                                   0          1
  OVERRUN_pass2                                   0          1
  OVERRUN_SYMBOLIC_pass1                          0          1
  OVERRUN_SYMBOLIC_pass2                          0          1
  RELAX_ACCESS_DBUFFER                            0          2
  RELAX_BUFFER_SIZE                               0          2
  RELAX_DEREF_ARGS                                0          2
  RELAX_INDEX_STATIC                              0          2
  loadFromEmit                                    0          1

activity                                         ms      calls
--------------------------------------------------------------
IFACE_TRACKER                                     0          3
OVERRUN_pass2                                     0          2
OVERRUN_pass1                                     0          2
OVERRUN_SYMBOLIC_pass2                            0          2
OVERRUN_SYMBOLIC_pass1                            0          2
EXTRACT_XREF_SUMMARY                              0          1
FUNCTION_METRICS                                  1          4
RELAX_ACCESS_DBUFFER                              0          3
RELAX_BUFFER_SIZE                                 0          3
RELAX_DEREF_ARGS                                  0          3
RELAX_INDEX_STATIC                                0          3
RELAX_NOTHING                                     0          1
sequential initialization                         9          1
Looking for translation units                     1          1
Computing links for translation units             1          1
xfer symbol cache                                 0          1
Computing virtual overrides                       0          1
Computing callgraph                               1          1
Topologically sorting functions                   0          1
Computing node costs                              0          1
Analysis run                                    283          1
loadFromEmit                                      0          1
